ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2019,"2019",0,"Total",43406,12420,"Census Tract 90, King County, WA","14000US53033009000"
2019,"2019",0,"Total",40938,6758.000000000001,"Census Tract 91, King County, WA","14000US53033009100"
2019,"2019",0,"Total",20573,11328,"Census Tract 92, King County, WA","14000US53033009200"
2019,"2019",0,"Total",92347,21734,"Census Tract 93, King County, WA","14000US53033009300"
2019,"2019",0,"Total",73642,8274,"Census Tract 94, King County, WA","14000US53033009400"
2019,"2019",0,"Total",104028,33093,"Census Tract 95, King County, WA","14000US53033009500"
2019,"2019",0,"Total",132889,26934,"Census Tract 96, King County, WA","14000US53033009600"
2019,"2019",0,"Total",126623,12161,"Census Tract 97.01, King County, WA","14000US53033009701"
2019,"2019",0,"Total",127727,14256,"Census Tract 97.02, King County, WA","14000US53033009702"
2019,"2019",0,"Total",118429,13265,"Census Tract 98, King County, WA","14000US53033009800"
2019,"2019",0,"Total",90024,11264,"Census Tract 99, King County, WA","14000US53033009900"
2019,"2019",0,"Total",58310,10283,"Census Tract 100.01, King County, WA","14000US53033010001"
2019,"2019",0,"Total",73180,19693,"Census Tract 100.02, King County, WA","14000US53033010002"
2019,"2019",0,"Total",100890,22307,"Census Tract 101, King County, WA","14000US53033010100"
2019,"2019",0,"Total",114224,18070,"Census Tract 102, King County, WA","14000US53033010200"
2019,"2019",0,"Total",89500,19853,"Census Tract 103, King County, WA","14000US53033010300"
2019,"2019",0,"Total",85227,20504,"Census Tract 104.01, King County, WA","14000US53033010401"
2019,"2019",0,"Total",91429,7146,"Census Tract 104.02, King County, WA","14000US53033010402"
2019,"2019",0,"Total",97196,17419,"Census Tract 105, King County, WA","14000US53033010500"
2019,"2019",0,"Total",109058,20263,"Census Tract 106, King County, WA","14000US53033010600"
2019,"2019",0,"Total",72500,13193,"Census Tract 107.01, King County, WA","14000US53033010701"
2019,"2019",0,"Total",46792,5543,"Census Tract 107.02, King County, WA","14000US53033010702"
2019,"2019",0,"Total",92692,13509,"Census Tract 108, King County, WA","14000US53033010800"
2019,"2019",0,"Total",64034,14073,"Census Tract 109, King County, WA","14000US53033010900"
2019,"2019",0,"Total",37188,14151,"Census Tract 110.01, King County, WA","14000US53033011001"
2019,"2019",0,"Total",48250,13491.000000000002,"Census Tract 110.02, King County, WA","14000US53033011002"
2019,"2019",0,"Total",55170,7754,"Census Tract 111.01, King County, WA","14000US53033011101"
2019,"2019",0,"Total",97099,7479,"Census Tract 111.02, King County, WA","14000US53033011102"
2019,"2019",0,"Total",56402,6661,"Census Tract 113, King County, WA","14000US53033011300"
2019,"2019",0,"Total",78806,11079,"Census Tract 114.01, King County, WA","14000US53033011401"
2019,"2019",0,"Total",54151,7707.999999999999,"Census Tract 114.02, King County, WA","14000US53033011402"
2019,"2019",0,"Total",111528,9796,"Census Tract 115, King County, WA","14000US53033011500"
2019,"2019",0,"Total",118599,13388,"Census Tract 116, King County, WA","14000US53033011600"
2019,"2019",0,"Total",82869,6854,"Census Tract 117, King County, WA","14000US53033011700"
2019,"2019",0,"Total",62782,13262,"Census Tract 118, King County, WA","14000US53033011800"
2019,"2019",0,"Total",101028,14416,"Census Tract 119, King County, WA","14000US53033011900"
2019,"2019",0,"Total",110192,15101.999999999998,"Census Tract 120, King County, WA","14000US53033012000"
2019,"2019",0,"Total",127955,23944,"Census Tract 121, King County, WA","14000US53033012100"
2018,"2018",0,"Total",50948,6370,"Census Tract 1, King County, WA","14000US53033000100"
2018,"2018",0,"Total",69790,4434,"Census Tract 2, King County, WA","14000US53033000200"
2018,"2018",0,"Total",86696,22361,"Census Tract 3, King County, WA","14000US53033000300"
2018,"2018",0,"Total",32262,2972,"Census Tract 4.01, King County, WA","14000US53033000401"
2018,"2018",0,"Total",73792,11215,"Census Tract 4.02, King County, WA","14000US53033000402"
2018,"2018",0,"Total",146750,16035,"Census Tract 5, King County, WA","14000US53033000500"
2018,"2018",0,"Total",63705,11509,"Census Tract 6, King County, WA","14000US53033000600"
2018,"2018",0,"Total",59807,5762,"Census Tract 7, King County, WA","14000US53033000700"
2018,"2018",0,"Total",105286,14924,"Census Tract 8, King County, WA","14000US53033000800"
2018,"2018",0,"Total",138224,20930,"Census Tract 9, King County, WA","14000US53033000900"
2018,"2018",0,"Total",83295,21176,"Census Tract 10, King County, WA","14000US53033001000"
2018,"2018",0,"Total",81250,11600,"Census Tract 11, King County, WA","14000US53033001100"
2018,"2018",0,"Total",45925,9711,"Census Tract 12, King County, WA","14000US53033001200"
2018,"2018",0,"Total",70250,8334,"Census Tract 13, King County, WA","14000US53033001300"
2018,"2018",0,"Total",92059,24730,"Census Tract 14, King County, WA","14000US53033001400"
2018,"2018",0,"Total",110139,25840,"Census Tract 15, King County, WA","14000US53033001500"
2018,"2018",0,"Total",126096,12630,"Census Tract 16, King County, WA","14000US53033001600"
2018,"2018",0,"Total",69596,5453,"Census Tract 17.01, King County, WA","14000US53033001701"
2018,"2018",0,"Total",79375,13120,"Census Tract 17.02, King County, WA","14000US53033001702"
2018,"2018",0,"Total",102917,20932,"Census Tract 18, King County, WA","14000US53033001800"
2018,"2018",0,"Total",84395,4980,"Census Tract 19, King County, WA","14000US53033001900"
2018,"2018",0,"Total",99726,6979.999999999999,"Census Tract 20, King County, WA","14000US53033002000"
2018,"2018",0,"Total",106458,19460,"Census Tract 21, King County, WA","14000US53033002100"
2018,"2018",0,"Total",135088,26706,"Census Tract 22, King County, WA","14000US53033002200"
2018,"2018",0,"Total",118750,18184,"Census Tract 24, King County, WA","14000US53033002400"
2018,"2018",0,"Total",113472,18106,"Census Tract 25, King County, WA","14000US53033002500"
2018,"2018",0,"Total",115000,9370,"Census Tract 26, King County, WA","14000US53033002600"
2018,"2018",0,"Total",128292,22563,"Census Tract 27, King County, WA","14000US53033002700"
2018,"2018",0,"Total",124107,13689,"Census Tract 28, King County, WA","14000US53033002800"
2018,"2018",0,"Total",110202,20163,"Census Tract 29, King County, WA","14000US53033002900"
2018,"2018",0,"Total",103470,13449,"Census Tract 30, King County, WA","14000US53033003000"
2018,"2018",0,"Total",123698,9701,"Census Tract 31, King County, WA","14000US53033003100"
2018,"2018",0,"Total",89375,17537,"Census Tract 32, King County, WA","14000US53033003200"
2018,"2018",0,"Total",113188,15270.999999999998,"Census Tract 33, King County, WA","14000US53033003300"
2018,"2018",0,"Total",106172,12028,"Census Tract 34, King County, WA","14000US53033003400"
2018,"2018",0,"Total",91806,18717,"Census Tract 35, King County, WA","14000US53033003500"
2018,"2018",0,"Total",82268,8173.999999999999,"Census Tract 36, King County, WA","14000US53033003600"
2018,"2018",0,"Total",124792,15265.999999999998,"Census Tract 38, King County, WA","14000US53033003800"
2018,"2018",0,"Total",103333,31705,"Census Tract 39, King County, WA","14000US53033003900"
2018,"2018",0,"Total",80208,17951,"Census Tract 40, King County, WA","14000US53033004000"
2018,"2018",0,"Total",175735,7784.999999999999,"Census Tract 41, King County, WA","14000US53033004100"
2018,"2018",0,"Total",127373,13558,"Census Tract 42, King County, WA","14000US53033004200"
2018,"2018",0,"Total",95463,21526,"Census Tract 43.01, King County, WA","14000US53033004301"
2018,"2018",0,"Total",30679,7575,"Census Tract 43.02, King County, WA","14000US53033004302"
2018,"2018",0,"Total",63344,21995,"Census Tract 44, King County, WA","14000US53033004400"
2018,"2018",0,"Total",105536,17665,"Census Tract 45, King County, WA","14000US53033004500"
2018,"2018",0,"Total",130909,15804.999999999998,"Census Tract 46, King County, WA","14000US53033004600"
2018,"2018",0,"Total",91288,9098,"Census Tract 47, King County, WA","14000US53033004700"
2018,"2018",0,"Total",116279,9779,"Census Tract 48, King County, WA","14000US53033004800"
2018,"2018",0,"Total",95917,8422,"Census Tract 49, King County, WA","14000US53033004900"
2018,"2018",0,"Total",87112,19813,"Census Tract 50, King County, WA","14000US53033005000"
2018,"2018",0,"Total",120318,27432.999999999996,"Census Tract 51, King County, WA","14000US53033005100"
2018,"2018",0,"Total",41089,9969,"Census Tract 52, King County, WA","14000US53033005200"
2018,"2018",0,"Total",20950,4244,"Census Tract 53.01, King County, WA","14000US53033005301"
2018,"2018",0,"Total",101270,19239,"Census Tract 54, King County, WA","14000US53033005400"
2018,"2018",0,"Total",170031,15767,"Census Tract 56, King County, WA","14000US53033005600"
2018,"2018",0,"Total",117449,19798,"Census Tract 57, King County, WA","14000US53033005700"
2018,"2018",0,"Total",84583,9285,"Census Tract 58.01, King County, WA","14000US53033005801"
2018,"2018",0,"Total",71715,8151.000000000001,"Census Tract 58.02, King County, WA","14000US53033005802"
2018,"2018",0,"Total",109567,9267,"Census Tract 59, King County, WA","14000US53033005900"
2018,"2018",0,"Total",113670,13029,"Census Tract 60, King County, WA","14000US53033006000"
2018,"2018",0,"Total",109055,14133,"Census Tract 61, King County, WA","14000US53033006100"
2018,"2018",0,"Total",179922,36943,"Census Tract 62, King County, WA","14000US53033006200"
2018,"2018",0,"Total",135956,26972.999999999996,"Census Tract 63, King County, WA","14000US53033006300"
2018,"2018",0,"Total",157670,23134,"Census Tract 64, King County, WA","14000US53033006400"
2018,"2018",0,"Total",103750,13838,"Census Tract 65, King County, WA","14000US53033006500"
2018,"2018",0,"Total",106995,15808,"Census Tract 66, King County, WA","14000US53033006600"
2018,"2018",0,"Total",112224,13770.000000000002,"Census Tract 67, King County, WA","14000US53033006700"
2018,"2018",0,"Total",116111,14260,"Census Tract 68, King County, WA","14000US53033006800"
2018,"2018",0,"Total",127702,24678,"Census Tract 69, King County, WA","14000US53033006900"
2018,"2018",0,"Total",74063,15789.999999999998,"Census Tract 70, King County, WA","14000US53033007000"
2018,"2018",0,"Total",84112,3317,"Census Tract 71, King County, WA","14000US53033007100"
2018,"2018",0,"Total",113125,15419,"Census Tract 72, King County, WA","14000US53033007200"
2018,"2018",0,"Total",100317,18282,"Census Tract 73, King County, WA","14000US53033007300"
2018,"2018",0,"Total",71453,15186.000000000002,"Census Tract 74.01, King County, WA","14000US53033007401"
2018,"2018",0,"Total",55181,9455,"Census Tract 74.02, King County, WA","14000US53033007402"
2018,"2018",0,"Total",68838,8435,"Census Tract 75, King County, WA","14000US53033007500"
